Dataset	Method	Deletion	1BP Deletion	1BP Insertion	1BP Frameshift	2BP Frameshift	Frameshift
FORECasT WT	CROTON	0.001990098739042878	0.028622958809137344	0.0019005355425179005	0.07487340271472931	0.0683356299996376	0.060530323535203934
FORECasT WT	DU-AxisCRISP	0.008555944414507256	0.005954232099679653	0.006833711287968856	0.01458563588849305	0.011356896517853486	0.010438999155555937
FORECasT WT	FORECasT	0.00887490330982786	0.004773265587831014	0.008456677559106526	0.02001715596266945	0.016156325566404322	0.01542351577750547
FORECasT WT	Lindel	0.011052232582682701	0.009744048476151485	0.010474030418256562	0.029576471590515557	0.02438711043509056	0.02208096318736692
FORECasT WT	X-CRISP	0.010856792121298564	0.0062210257008042825	0.009474419525130203	0.016955405258658164	0.012843166385384077	0.01186365932282491
FORECasT WT	inDelphi	0.026014309144073745	0.018694957544650823	0.026014309144073756	0.035411221172106905	0.022594278301333235	0.020159564493563764
inDelphi WT	CROTON	0.0011242958717048168	0.010060231201350689	0.0010484711965546012	0.06227320060133934	0.05772716924548149	0.05663314461708069
inDelphi WT	DU-AxisCRISP	1.0279619661958477e-16	0.003123220354907549	0.0007960127660858932	0.009005996616672363	0.008008412698858967	0.00796689135578739
inDelphi WT	FORECasT	0.0053480831573618085	0.0032585469075837366	0.004830319873406487	0.009577165910514603	0.007923730208104711	0.007754250778791417
inDelphi WT	Lindel	0.006695055576593729	0.005391239172077902	0.006472741986164066	0.01521483578295104	0.011701265978955617	0.010703859214832195
inDelphi WT	X-CRISP	0.0065727608487001	0.0033246423116842162	0.006306272904484674	0.010454784333708557	0.00783846102812213	0.007685952842252511
inDelphi WT	inDelphi	0.019889748227138338	0.019051569678203206	0.019889748227138338	0.03408038025734826	0.02007132375024433	0.016923792412985975
